iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 9;  4.5272; 2.29421;
Particle no.; 10;  6.26982; 2.63355;
Particle no.; 11;  3.28795; 2.67843;
Particle no.; 12;  5.16621; 0.806942;
Particle no.; 13;  4.38106; 1.94018;
Particle no.; 14;  2.20361; 3.14045;
Particle no.; 15;  3.82209; 4.87257;
Particle no.; 16;  5.65096; 2.62241;
Particle no.; 17;  4.73326; 2.87556;
Particle no.; 18;  5.6881; 5.35576;
Particle no.; 19;  2.50816; 4.09465;
Particle no.; 20;  5.18088; 3.60198;
Particle no.; 21;  5.40193; 0.997511;
Particle no.; 22;  4.57861; 1.87153;
Particle no.; 23;  6.85851; 3.48479;
Particle no.; 24;  6.28546; 1.75553;
Particle no.; 25;  4.81009; 3.09823;
Particle no.; 26;  4.57447; 2.2051;
Particle no.; 27;  6.14354; 4.49727;
Particle no.; 28;  2.38939; 5.51705;
Particle no.; 29;  6.78182; 3.02591;
Particle no.; 30;  5.01185; 3.91329;
Particle no.; 31;  1.82461; 1.73964;
Particle no.; 32;  4.00553; 2.22683;
Particle no.; 33;  5.485; 3.91979;
Particle no.; 34;  5.86766; 1.22224;
Particle no.; 35;  5.8985; 0.945397;
Particle no.; 36;  6.72971; 6.14933;
Particle no.; 37;  3.60177; 6.15739;
Particle no.; 38;  4.49626; 0.864834;
Particle no.; 39;  4.56057; 2.31704;
Particle no.; 40;  4.54695; 2.13462;
Particle no.; 41;  6.17943; 2.44089;
Particle no.; 42;  3.84213; 6.09503;
Particle no.; 43;  2.12113; 4.45318;
Particle no.; 44;  4.98505; 3.03563;
Particle no.; 45;  3.6186; 3.33376;
Particle no.; 46;  4.37686; 6.20535;
Particle no.; 47;  2.51167; 3.14006;
Particle no.; 48;  5.40043; 2.82887;
Particle no.; 49;  5.44875; 3.16778;
iteration no.; 36; x coordinate; y coordinate; 
Particle no.; 0;  5.34064; 1.94894;
Particle no.; 1;  5.64359; 1.87361;
Particle no.; 2;  2.73555; 4.13606;
Particle no.; 3;  5.45976; 0.476031;
Particle no.; 4;  4.50054; 2.35214;
Particle no.; 5;  5.57318; 2.55536;
Particle no.; 6;  2.53585; 5.50456;
Particle no.; 7;  5.61863; 1.8847;
Particle no.; 8;  4.10948; 1.72406;
Particle no.; 9;  4.5251; 2.2938;
Particle no.; 10;  6.2697; 2.63362;
Particle no.; 11;  3.28904; 2.67861;
Particle no.; 12;  5.16659; 0.807604;
Particle no.; 13;  4.37864; 1.93927;
