iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 2;  6.38305; 3.48781;
Particle no.; 3;  6.11358; 6.20473;
Particle no.; 4;  0.133768; 0.0630206;
Particle no.; 5;  0.744873; 1.72194;
Particle no.; 6;  1.22253; 7;
Particle no.; 7;  7; 2.725;
Particle no.; 8;  6.07687; 0;
Particle no.; 9;  2.67598; 4.32382;
Particle no.; 10;  6.90617; 0.657763;
Particle no.; 11;  2.62309; 5.2208;
Particle no.; 12;  1.09085; 5.22001;
Particle no.; 13;  5.43485; 2.169;
Particle no.; 14;  1.07278; 2.411;
Particle no.; 15;  6.82571; 2.46832;
Particle no.; 16;  7; 2.0052;
Particle no.; 17;  5.82131; 3.45909;
Particle no.; 18;  3.2716; 4.44383;
Particle no.; 19;  4.10283; 6.98641;
Particle no.; 20;  2.23651; 3.86371;
Particle no.; 21;  6.9997; 4.03521;
Particle no.; 22;  2.53839; 7;
Particle no.; 23;  2.01886; 6.33476;
Particle no.; 24;  2.47087; 4.83961;
Particle no.; 25;  2.79714; 4.81184;
Particle no.; 26;  5.88686; 4.215;
Particle no.; 27;  0; 0;
Particle no.; 28;  0.0332958; 4.81964;
Particle no.; 29;  2.61377; 4.24468;
Particle no.; 30;  3.99723; 2.52065;
Particle no.; 31;  6.29713; 2.38635;
Particle no.; 32;  1.8782; 2.44672;
Particle no.; 33;  5.7776; 5.79276;
Particle no.; 34;  7; 7;
Particle no.; 35;  0.00520783; 2.68284;
Particle no.; 36;  2.00026; 6.47574;
Particle no.; 37;  0.194561; 5.66728;
Particle no.; 38;  6.65712; 2.99897;
Particle no.; 39;  7; 6.5525;
Particle no.; 40;  6.59846; 6.33549;
Particle no.; 41;  5.98059; 6.07763;
Particle no.; 42;  2.23664; 5.00764;
Particle no.; 43;  6.63059; 6.73727;
Particle no.; 44;  6.88612; 0;
Particle no.; 45;  0.586658; 4.61105;
Particle no.; 46;  6.54271; 4.94612;
Particle no.; 47;  1.4496; 6.13811;
Particle no.; 48;  5.04569; 4.17264;
Particle no.; 49;  3.56587; 5.13962;
iteration no.; 120; x coordinate; y coordinate; 
Particle no.; 0;  7; 0.776693;
Particle no.; 1;  3.17267; 3.33067;
Particle no.; 2;  5.38683; 0;
Particle no.; 3;  6.15876; 6.24478;
Particle no.; 4;  2.65199; 1.06363;
Particle no.; 5;  1.94351; 7;
Particle no.; 6;  1.44493; 7;
Particle no.; 7;  7; 2.81658;
Particle no.; 8;  6.13894; 0;
Particle no.; 9;  2.66841; 4.31626;
Particle no.; 10;  6.1712; 1.30611;
Particle no.; 11;  2.35243; 5.02806;
Particle no.; 12;  0.972458; 5.12594;
Particle no.; 13;  4.58234; 1.31649;
Particle no.; 14;  1.35451; 2.69273;
